omega,true_delta,estimated_delta
0.06309573444801933,-2.872553306332293e-10,-0.0759392334324159
0.06472249883792543,-4.186021806962259e-10,0.007442437937515561
0.06639120524504419,-6.081107839506217e-10,0.05821235779684
0.0681029350385148,-8.80664152713706e-10,-0.019454935736478607
0.0698587974678525,-1.2714028996274607e-09,-0.02862452663900711
0.07165993038177375,-1.8297842685477406e-09,0.024579170022182156
0.07350750096555476,-2.625179518211951e-09,0.022516674537616133
0.07540270649740045,-3.754560079505254e-09,0.05560919620761928
0.07734677512431476,-5.353015197773203e-09,0.006914585367963522
0.07934096665797492,-7.608090435429204e-09,0.07969190527170522
0.08138657339112505,-1.0779259540516506e-08,0.06229506421447001
0.08348492093501861,-1.5224270843994248e-08,-0.02915610851110162
0.0856373690784521,-2.1434657493379916e-08,0.10657248980074016
0.08784531266894699,-3.008341625809763e-08,-0.09082068566491591
0.09011018251665023,-4.208877824041224e-08,0.01933054146323715
0.09243344632154005,-5.869917141243519e-08,0.017528945001903717
0.09481660962453729,-8.160597325668206e-08,0.08094672369091063
0.09726121678313844,-1.1309255132374574e-07,0.09522034732804668
0.09976885197220328,-1.5623049021140645e-07,-0.09622136846897544
0.10234114021054533,-2.1513689857366458e-07,-0.05501439605523328
0.10497974841398987,-2.9531044432040687e-07,-0.01893732753202565
0.10768638647558294,-4.0406840545736955e-07,0.1050526710465117
0.11046280837365059,-5.511127474377986e-07,-0.05372477299489997
0.11331081330842661,-7.492602471237397e-07,0.07910657734616094
0.11623224686798526,-1.0153802144086121e-06,0.06425050983994907
0.11922900222423498,-1.3715936725278155e-06,0.04506293747887247
0.12230302135974738,-1.8468002390692462e-06,-0.06345020938587947
0.1254562963262171,-2.47861370572533e-06,0.1363492770696172
0.12869087053536798,-3.315804766090835e-06,0.010744450799718086
0.13200884008314182,-4.4213698164874415e-06,-0.021485053693423684
0.135412355108028,-5.876368580848279e-06,-0.14626349681832673
0.13890362118441443,-7.784700758628471e-06,-0.061383722333985924
0.14248490075186235,-1.0279023233472628e-05,-0.19684518501427883
0.1461585145812313,-1.3528044760291458e-05,0.05629460610685949
0.1499268432786046,-1.7745474510166837e-05,0.15108702150488407
0.1537923288279898,-2.320094431984554e-05,0.09746826314239637
0.15775747617379357,-3.0233271625823566e-05,0.047581981099360904
0.1618248548440967,-3.926648029967117e-05,-0.016509401840322735
0.16599710061578152,-5.0829049087708356e-05,0.014489782095862824
0.17027691722259003,-6.557691076813921e-05,0.030140619269672764
0.17466707810722004,-8.432077782966063e-05,0.09374592139406279
0.17917042821859494,-0.00010805842019223633,-0.030811730970377038
0.18378988585547149,-0.00013801256449430532,0.18648084805587606
0.18852844455757992,-0.00017567511939653446,0.11010038829276841
0.1933891750455231,-0.0002228584532413258,0.086184665397876
0.1983752272106905,-0.00028175445467437665,0.0915578878325311
0.20348983215647715,-0.00035500208836147795,0.20100978197663089
0.20873630429213064,-0.0004457641110749977,-0.13651335060727887
0.21411804348058222,-0.0005578135322336086,-0.028464769581711624
0.2196385372416547,-0.0006956302813003745,0.09841045310493146
0.22530136301207412,-0.0008645083762396366,0.1169633435168394
0.23111019046375064,-0.0010706736668366634,-0.15421583521307503
0.23706878388182986,-0.001321411949190443,-0.14277168370308146
0.2431810046040567,-0.0016252069094099264,-0.2882466453145611
0.24945081352303167,-0.001991886953400579,0.04946434270333866
0.25588227365298205,-0.0024327795157190746,-0.061441956292743516
0.26247955276271023,-0.0029608709165650504,-0.35061268134406687
0.2692469260764265,-0.0035909692579112473,0.13615174887047665
0.2761887790442155,-0.0043398672269845395,0.28308841301301557
0.28330961018393247,-0.005226501021073249,-0.2628766220504436
0.29061403399637076,-0.006272100939300751,0.07113510699004055
0.29810678395558926,-0.007500328525977706,-0.01631048494818088
0.3057927155763377,-0.008937394521726594,-0.13840143675897887
0.31367680956056876,-0.010612151311510387,-0.0382228052196506
0.3217641750250737,-0.012556153084486765,0.20961324677020338
0.3300600528123356,-0.014803676572564983,0.05545696249558152
0.338569818886744,-0.017391695046535927,-0.39395393677572854
0.34729898781837204,-0.020359798253735573,0.3344980972629025
0.3562532163565755,-0.02375005120993512,0.058318681156595
0.3654383070957257,-0.027606785236838682,0.10969407276437182
0.3748602122354566,-0.03197631538556511,0.10378939460875003
0.3845250374378587,-0.03690657941836284,0.001027174315038848
0.394439045784121,-0.042446694838844334,-0.09186096330502835
0.40460866183318644,-0.048646432057956934,-0.6684141162034369
0.41504047578504766,-0.0555556036399012,0.05072942638251976
0.42574124775138444,-0.06322337165847836,0.1282272375599508
0.43671791213630756,-0.07169747746719235,-0.2378647185733661
0.4479775821300496,-0.08102340059186386,-0.3542302966486117
0.45952755431851466,-0.09124345592849936,0.17917519048488406
0.47137531341167255,-0.10239584089941067,-0.10191194298815387
0.48352853709386395,-0.11451364660889207,-0.13887100856807122
0.49599510099915783,-0.1276238492646833,0.028923415080010728
0.5087830838149856,-0.14174630011144096,-0.18311221554998436
0.5219007725173604,-0.15689273377896518,-0.15381122758129728
0.5353566677410726,-0.1730658162087496,-0.19563004004533913
0.549159489288343,-0.19025825412473318,0.030104686119836743
0.5633181817795012,-0.20845198830711287,-0.1121484312369383
0.5778419204493551,-0.22761749267553566,-0.2533199911653722
0.5927401170930028,-0.24771320036978317,-0.5922903737979562
0.6080224261649424,-0.2686850766294303,-0.3379107019053621
0.6236987510354344,-0.2904663563337786,-0.507479237423226
0.639779250408165,-0.3129774616018278,-0.0034169240229191544
0.6562743449033757,-0.33612611191763797,-0.4227685491702855
0.6731947238107215,-0.35980763590224174,-0.594179811551037
0.6905513520162331,-0.38390549017468756,-0.4093390378276197
0.7083554771078744,-0.4082919868171212,-0.24193515599036108
0.7266186366642996,-0.4328292268738968,-0.7035934817021879
0.7453526657315326,-0.45737023316849623,-0.7096179420332535
0.7645697044924104,-0.4817602716109177,-1.3644851563017812
0.7842822061337682,-0.505838346186677,-0.5999027116404027
0.8045029449164588,-0.5294388490563435,-0.687864472924018
0.825245024453434,-0.5523933437343825,-0.3048194905763416
0.8465218862012593,-0.5745324562322611,-0.5594444140237194
0.8683473181705607,-0.5956878464073602,-0.3865124570988848
0.890735463861044,-0.6156942296097966,-0.6065362365222248
0.9137008314268883,-0.634391417106077,-1.0522542607766519
