log10_omega,regime,delta
-2.0,0,-0.025224899213652854
-1.8518518518518519,0,-0.01684516392171971
-1.7037037037037037,0,-0.015270343112694797
-1.5555555555555556,0,-0.02072801658806677
-1.4074074074074074,0,-0.03229313852731333
-1.2592592592592593,0,-0.04797124078400121
-1.1111111111111112,0,-0.06489324884850207
-0.962962962962963,0,-0.07958489520904267
-0.8148148148148149,0,-0.08831442304524442
-0.6666666666666667,0,-0.08759364674551973
-0.5185185185185186,0,-0.07493767299575217
-0.37037037037037046,0,-0.049868170166696354
-0.2222222222222223,0,-0.014842514934584515
-0.07407407407407418,0,0.024510632666282173
0.07407407407407397,0,0.06041524020980195
0.22222222222222235,0,0.08518865513325344
0.3703703703703703,0,0.09379706391021247
0.5185185185185182,0,0.0854158952457244
0.6666666666666665,0,0.06319405546078585
0.8148148148148149,0,0.03252693076436912
0.9629629629629628,0,-0.0010286623717077198
1.1111111111111107,0,-0.03311756856961594
1.259259259259259,0,-0.06088461042375785
1.4074074074074074,0,-0.08259053209047579
1.5555555555555554,0,-0.09714745289174828
1.7037037037037033,0,-0.10393265962233783
1.8518518518518516,0,-0.10288495449829817
2.0,0,-0.09469265892564102
-2.0,1,-0.016601590453375344
-1.8518518518518519,1,-0.015392871046922933
-1.7037037037037037,1,-0.021223753871011032
-1.5555555555555556,1,-0.033164718120155284
-1.4074074074074074,1,-0.049299157966520145
-1.2592592592592593,1,-0.06698278755872729
-1.1111111111111112,1,-0.08316052116139591
-0.962962962962963,1,-0.09465457122313244
-0.8148148148148149,1,-0.09836985096001388
-0.6666666666666667,1,-0.09146837746745423
-0.5185185185185186,1,-0.07171327760259516
-0.37037037037037046,1,-0.03823698203100541
-0.2222222222222223,1,0.007248582826488145
-0.07407407407407418,1,0.059337219930556975
0.07407407407407397,1,0.10894282270441263
0.22222222222222235,1,0.14527331261335397
0.3703703703703703,1,0.15944251891895403
0.5185185185185182,1,0.1480059205859925
0.6666666666666665,1,0.11434187911901789
0.8148148148148149,1,0.06702951198927229
0.9629629629629628,1,0.016296302856941308
1.1111111111111107,1,-0.029359235333406904
1.259259259259259,1,-0.06482962463711016
1.4074074074074074,1,-0.08822959793989406
1.5555555555555554,1,-0.09980936577865152
1.7037037037037033,1,-0.10092680245162595
1.8518518518518516,1,-0.09350662280049243
2.0,1,-0.0798885469110144
-2.0,2,-0.015521464705232975
-1.8518518518518519,2,-0.021692513031122317
-1.7037037037037037,2,-0.0339107390637169
-1.5555555555555556,2,-0.05024435542253365
-1.4074074074074074,2,-0.06810309502657783
-1.2592592592592593,2,-0.08462555470151749
-1.1111111111111112,2,-0.09706996989153543
-0.962962962962963,2,-0.10310197299771948
-0.8148148148148149,2,-0.10087947198760995
-0.6666666666666667,2,-0.08891127408900383
-0.5185185185185186,2,-0.06584935245110007
-0.37037037037037046,2,-0.03060917909919133
-0.2222222222222223,2,0.016735031179775442
-0.07407407407407418,2,0.07327349423031923
0.07407407407407397,2,0.1317193461369396
0.22222222222222235,2,0.18063226510148503
0.3703703703703703,2,0.20751011915834633
0.5185185185185182,2,0.20388855376780646
0.6666666666666665,2,0.16959913384005942
0.8148148148148149,2,0.11331932877975537
0.9629629629629628,2,0.04891818309381339
1.1111111111111107,2,-0.010072451764837329
1.259259259259259,2,-0.05465573337315218
1.4074074074074074,2,-0.081552778763733
1.5555555555555554,2,-0.09191725905506423
1.7037037037037033,2,-0.08923571080228802
1.8518518518518516,2,-0.07770423697007306
2.0,2,-0.06142485624161849
-2.0,3,-0.022172573239590834
-1.8518518518518519,3,-0.03465024483600829
-1.7037037037037037,3,-0.05112994755373526
-1.5555555555555556,3,-0.06900924458854836
-1.4074074074074074,3,-0.08546216847236267
-1.2592592592592593,3,-0.09787728041044708
-1.1111111111111112,3,-0.10424219088294645
-0.962962962962963,3,-0.10338035023922157
-0.8148148148148149,3,-0.09493952595944807
-0.6666666666666667,3,-0.0790560999551725
-0.5185185185185186,3,-0.05573733414673108
-0.37037037037037046,3,-0.024270873835821098
-0.2222222222222223,3,0.016703425801458782
-0.07407407407407418,3,0.06780901865762601
0.07407407407407397,3,0.12634331944248853
0.22222222222222235,3,0.18401948354584002
0.3703703703703703,3,0.2274842179049369
0.5185185185185182,3,0.24291533299514184
0.6666666666666665,3,0.22287838752433603
0.8148148148148149,3,0.17105486763641806
0.9629629629629628,3,0.10128682869072689
1.1111111111111107,3,0.031392128990064716
1.259259259259259,3,-0.02414834236731147
1.4074074074074074,3,-0.058405229995797316
1.5555555555555554,3,-0.07183749673668059
1.7037037037037033,3,-0.0694327493408314
