omega,im_g,sp_eq,sp_stress
0.01,0.053519249793735485,4.495616982673781,4.4956169826739245
0.010392891699183733,0.055611957352058004,4.494807174734408,4.49480717473462
0.010801219787096214,0.05778566340730109,4.493932927845952,4.493932927846264
0.011225590746637126,0.06004340173478671,4.49298915269383,4.492989152694285
0.011666634888915872,0.06238830734868947,4.491970364366911,4.491970364367577
0.01212500728944211,0.06482361833270105,4.49087065266204,4.49087065266301
0.012601388761098514,0.06735267749074554,4.489683650335558,4.489683650336969
0.013096486865340793,0.0699789337821473,4.488402499189931,4.488402499191975
0.013611036963126905,0.0727059435012404,4.487019813882825,4.48701981388578
0.014145803307136455,0.07553737115655211,4.48552764334656,4.485527643350822
0.014701580176902427,0.07847698999935825,4.4839174297078985,4.483917429714028
0.015279193058541335,0.08152868214556995,4.482179964601923,4.482179964610716
0.015879499870833994,0.08469643822853398,4.480305342779791,4.480305342792371
0.016503392239477967,0.08798435651339412,4.478282912918809,4.4782829129367645
0.017151796821404382,0.09139664139614098,4.476101225554995,4.476101225580554
0.017825676681125953,0.09493760120236104,4.47374797807373,4.47374797811002
0.018526032721160695,0.09861164519197621,4.471209956713835,4.471209956765227
0.01925390516865572,0.10242327966694542,4.468472975565249,4.468472975637839
0.02001037512041927,0.10637710306900126,4.465521812571038,4.4655218126733045
0.020796566148655812,0.11047779994405872,4.462340142582026,4.462340142725728
0.021613645969789038,0.11473013363901488,4.458910467557415,4.458910467758817
0.022462828178851642,0.11913893758536095,4.455214044058961,4.455214044340493
0.02334537405201777,0.12370910501246662,4.451230808250442,4.451230808642961
0.024262594419955465,0.12844557692175232,4.446939298689806,4.446939299235635
0.02521585161478167,0.13335332814145828,4.442316577289823,4.442316578046855
0.026206561493511315,0.13843735127062848,4.437338148925811,4.437338149973012
0.02723619554100618,0.14370263831062483,4.431977880287516,4.431977881732298
0.02830628305554681,0.1491541597733977,4.426207918708094,4.4262079206961475
0.029418413420273744,0.15479684104841432,4.419998611857773,4.419998614586146
0.03057423846387183,0.16063553580523066,4.4133184293646055,4.413318433099054
0.03177547491400375,0.16667499620695508,4.40613388762098,4.406133892718894
0.03302390694713704,0.1729198397122096,4.398409479252985,4.398409486193603
0.034321388838551674,0.1793745122506919,4.390107608971092,4.3901076183951835
0.035669847716464066,0.18604324757129662,4.381188537784449,4.3811885505462556
0.037071286424358724,0.19293002258334369,4.371610337846863,4.37161035508188
0.03852778649577804,0.20003850854229843,4.361328860508092,4.361328883721196
0.040041511245989446,0.20737201797316335,4.35029772046639,4.350297751646065
0.0416147089851216,0.21493344727925137,4.338468299252569,4.338468341018422
0.04324971635754168,0.22272521505324583,4.325789771615526,4.325789827408146
0.04494896181243458,0.2307491961932442,4.31220915871531,4.312209233039759
0.0467149692107378,0.2390066520307751,4.29767141235113,4.2976715110880805
0.04855036157379002,0.24749815680236,4.2821195347434164,4.282119665545305
0.05045786497926114,0.25622352094254125,4.265494738633831,4.265494911427355
0.05244031261014964,0.26518171184549705,4.247736652643533,4.247736880264655
0.05450064896286243,0.27437077293484563,4.228783576913315,4.228783875906617
0.056641934220625946,0.28378774209652907,4.208572794010954,4.20857318563195
0.058867348798725405,0.2934285707662092,4.187040939899649,4.187041451366577
0.06118019806832271,0.3032880452173339,4.164124439382432,4.164125105433261
0.06358391726586873,0.31335971186415335,4.139760009834815,4.139760874655889
0.06608207659540324,0.32363580866864444,4.113885236175703,4.113886355780618
0.068678386531319,0.3341072050123008,4.086439218870546,4.086440664021764
0.07137670332946768,0.34476335265134733,4.057363295280838,4.057365155062115
0.07418103475479249,0.3555922506027033,4.026601832848838,4.0266042190139295
0.07709554603399424,0.3665804269909301,3.9941030904250265,3.9941061426672557
0.0801245660420736,0.37771294100410774,3.959820141513735,3.9598240338218598
0.08327259373193656,0.3889734081378659,3.923711850355125,3.923716798643308
0.08654430481661424,0.40034405182953664,3.885743888629077,3.8857501598525532
0.08994455871402172,0.41180578437660037,3.8458897772369447,3.8458977002297963
0.09347840576456998,0.4233383196750821,3.804131934199604,3.804141912496638
0.09715109473235281,0.4349203197877611,3.7604627063461975,3.76047523327675
0.1009680806010482,0.4465295766481004,3.7148853593291973,3.7149010356963506
0.10493503267611479,0.4581432293209216,3.6674149977862553,3.6674345524698793
0.10905784300531665,0.46973801618234445,3.6180793853948976,3.6181036992405673
0.11334263513008382,0.4812905601688915,3.5669196333565947,3.566949766734314
0.11779577318070586,0.4927776839117853,3.513990725719003,3.514027950155255
0.12242387132886877,0.5041767501641318,3.459361851090255,3.459407685393889
0.12723380361157377,0.5154660215058863,3.403116512863234,3.4031727641797738
0.13223271414102974,0.5266250319454552,3.3453523941313654,3.345421204371433
0.13742802771568435,0.5376349618065026,3.286180959038245,3.2862648571339066
0.1428274608481528,0.5484790062759607,3.2257267792614797,3.225828739709656
0.14843903322642565,0.5591427272734256,3.164126582482103,3.164250090636901
0.15427107962537775,0.5696143779524883,3.1015280287270404,3.1016771533032403
0.16033226228627004,0.5798851892143333,3.0380882299928276,3.038267703240866
0.1666315837826325,0.5899496081340528,2.973972038092426,2.974187344100858
0.17317840039163598,0.5998054791745758,2.909350134700618,2.9096076062746925
0.17998243599081504,0.609454160466399,2.844396965590025,2.844703890143359
0.1870537965007809,0.6189005692084477,2.779288567569521,2.7796533024479966
0.19440298489537683,0.628153152314622,2.714200341256338,2.7146324388862633
0.20204091680157024,0.6372237806889307,2.6493048252419222,2.6498151684542117
0.20997893671225104,0.646127567842879,2.5847695272968405,2.5853704751202833
0.21822883483601802,0.6548826158508261,2.5207548660013344,2.5214604101346905
0.22680286460897894,0.6635096937562932,2.4574122717373355,2.458238203794612
0.2357137608945748,0.6720318553927966,2.394882489624482,2.3958465790920793
0.24497475889846057,0.6804740050867182,2.333294119129084,2.334416301768731
0.2545996138265347,0.6888624208141287,2.272762416199553,2.274064992367926
0.26460262131531764,0.6972242450654897,2.213388374399704,2.21489621642553
0.2749986386650221,0.7055869539385868,2.155258092133237,2.156998859487414
0.2858031069068534,0.7139778148648315,2.0984424241473385,2.1004467846545274
0.2970320737373157,0.7224233429332696,2.042996907467338,2.0452987622341987
0.30870221735358794,0.7309487650821919,1.9889619450506513,1.9915986541248578
0.3208308712253716,0.7395775005609222,1.9363632249552858,1.9393758299831187
0.33343604984000497,0.7483306651067062,1.8852123487884942,1.8886457881141625
0.34653647545907995,0.7572266053115438,1.8355076406287447,1.8394109513884012
0.3601516059263059,0.7662804687392534,1.7872351064087202,1.7916616072353964
0.37430166356791955,0.7755038145478228,1.7403695137517496,1.7453769607504928
0.38900766522856933,0.7849042687134287,1.6948755632665577,1.7005262709757856
0.40429145348728407,0.7944852274594951,1.6507091240971936,1.6570700422646811
0.42017572909989204,0.8042456121679398,1.607818508861232,1.6149612450810524
0.4366840847160741,0.81417967887418,1.5661457657633215,1.5741465434007018
0.4538410399211332,0.8242768853909613,1.5256279684374265,1.534567508875241
0.47167207765452585,0.8345218191238222,1.486198486774648,1.496161804915906
0.4902036820592464,0.8448941886778525,1.4477882244948537,1.4588643267193815
0.5094633778182844,0.855368882348964,1.4103268114188339,1.422608285886906
0.5294797710365754,0.8659160964771894,1.3737437402317563,1.387326230613898
0.5502825917291727,0.8765015363489087,1.3379694389740788,1.3529509944144507
0.571902737978743,0.8870866918083274,1.3029362715635249,1.3194165679868854
0.5943723218279725,0.8976291889242388,1.2685794593823483,1.286658890141117
0.6177247169750497,0.9080832179183002,1.2348379174249258,1.2546165547339148
0.6419946083430614,0.9184000360768236,1.2016549987788843,1.223231431347285
0.6672180435969315,0.9285285425437043,1.1689791414092665,1.192449198060944
0.6934324866844159,0.9384159197588557,1.1367644114374809,1.1622197851802347
0.7206768734806797,0.948008333924921,1.1049709374617278,1.132497729253625
0.7489916696191041,0.9572516843456403,1.0735652310515742,1.1032424372125451
0.7784189305942152,0.9660923889007643,1.0425203894478268,1.074418361044909
0.8090023642260097,0.9744781904473644,1.011816177767196,1.0459950841135133
0.8407873955784512,0.9823589667248447,0.9814389896760465,1.0179473210767596
0.873821234428559,0.9896875245565404,0.9513816875498025,0.9902548343683565
0.9081529453863053,0.9964203579444647,0.9216433255274139,0.9629022713320701
0.943833520769459,1.0025183491864074,0.8922287615193499,0.9358789273552269
0.9809159563416268,1.007947392514392,0.8631481670150493,0.9091784416514898
1.0194553300259765,1.0126789210236375,0.8344164463176432,0.8827984336466598
1.0595088837115578,1.0166903198405786,0.8060525794501837,0.8567400891493385
1.1011361082737279,1.0199652115164497,0.7780789052653933,0.8310077065665704
1.14439883193495,1.022493603419077,0.7505203630973699,0.805608214281782
1.1893613120972295,1.0242718912652962,0.7234037124897775,0.7805506708865237
1.2360903307825577,1.0253027176817449,0.6967567510275833,0.7558457602017188
1.284655293823131,1.025594689566308,0.6706075500392624,0.7315052929101765
1.3351283339486866,1.0251619627993747,0.6449837269235655,0.7075417261431519
1.3875844179240302,1.024023707285009,0.6199117711384549,0.683967711534389
1.442101457895934,1.0222034691750745,0.5954164385631079,0.6607956811096414
1.4987604271147419,1.019728450273308,0.5715202261368496,0.6380374789691826
1.5576454802025859,1.0166287269117738,0.5482429355457853,0.6157040451077429
1.618844078146852,1.012936431975973,0.525601331435103,0.593805155969978
1.6824471182045153,1.0086849242201947,0.5036088963373694,0.5723492245303469
1.748549068910329,1.0039079686050905,0.4822756813761011,0.5513431608809479
1.8172481103893612,0.9986389501901842,0.46160824895837826,0.5307922925692709
1.8886462801822905,0.9929101422397254,0.44160970120930637,0.5107003422997781
1.9628496248000773,0.9867520467828002,0.42227978589137993,0.4910694591381622
2.039968357233062,0.9801928230445186,0.4036150700269555,0.4719002980638968
2.120117020648495,0.9732578160656133,0.38560917040562676,0.4531921416248986
2.2034146585195904,0.965969194571199,0.368253029588617,0.4349430565702907
2.2899849914387995,0.9583457038365137,0.3515352258780014,0.41715007768056167
2.3799566008779642,0.9504025360102589,0.33544230594545765,0.3998094105831395
2.4734631201682116,0.9421513171593835,0.3199591293522344,0.3829166451380991
2.5706434329833288,0.9336002072437537,0.30506921497651324,0.36646697100511477
2.6716418796213626,0.9247541063572284,0.2907550803366515,0.3504553872598043
2.7766084713908468,0.9156149579214763,0.2769985659046763,0.33487689841418966
2.885699113420118,0.9061821371296362,0.2637811376969,0.31972668990771375
2.9990758362205785,0.8964529108520556,0.2510841626681503,0.3050002770621039
3.1169070363479348,0.8864229534845454,0.2388891526901158,0.29069362261756115
3.239367726518784,0.8760869018944306,0.2271779741357667,0.2768032192620944
3.366639795554073,0.8654389317558007,0.21593302129764372,0.26332613499218366
3.498912278535556,0.8544733372138942,0.20513735301763072,0.25026002065250813
3.63638163757642,0.8431850960202628,0.19477479298049502,0.23760308053661194
3.779252053623211,0.8315704030587712,0.1848299951043725,0.2253540084232255
3.9277357297223765,0.8196271565375535,0.1752884763304096,0.21351189280533026
4.082053206201903,0.8073553830248308,0.1661366198535812,0.20207609627286358
4.242433688236211,0.7947575898969537,0.1573616524318601,0.19104611497377644
4.409115386280753,0.7818390365541322,0.14895159984902523,0.18042142475216283
4.582345869882049,0.7686079188248278,0.1408952248795384,0.17020132091274728
4.762382435388603,0.7550754641850481,0.13318195220995213,0.16038475857406947
4.949492488108859,0.7412559386138121,0.12580178471460032,0.15097020025513308
5.143953939483883,0.727166568940385,0.11874521527523821,0.14195547671983705
5.346055619864549,0.7128273872726005,0.11200313799282084,0.1333376662264218
5.556097707506479,0.6982610064095185,0.10556676218842605,0.1251129962563089
5.774392174419788,0.6834923369457614,0.0994275320574548,0.11727677059855103
6.001263249735889,0.6685482580134079,0.0935770542570312,0.10982332341674987
6.237047901279654,0.6534572542613896,0.08800703510180653,0.10274600069690241
6.48209633606206,0.638249031758535,0.08270922844736264,0.09603716833208029
6.736772520436864,0.6229541250728547,0.07767539477899195,0.08968824509660485
7.001454720693739,0.6076035068999015,0.07289727151807468,0.08368975793783721
7.276536064890868,0.5922282103779559,0.06836655412425885,0.07803141639173591
7.562425126761541,0.576858972737766,0.06407488721904574,0.07270220251763047
7.859546532561846,0.5615259072913003,0.060013864689334166,0.06769047254302207
8.168341591761026,0.546258209063622,0.056175037546944306,0.06298406639388812
8.489268952511045,0.5310838976999097,0.05254992821684239,0.058570421434576664
8.822805282869018,0.5160295997063711,0.04913004989410768,0.05443668702290934
