symbol,window,n_obs,m,eta_scale,theta_hat,test_stat,critical_value,p_value,deviation_ratio,reject_5pct
AAPL,Open,90,2,1.0,4.094378,0.0009,0.0235,1.0,0.2158,0
AAPL,Midday,180,3,1.0,1.172545,0.0178,0.0104,0.003,1.1036,1
AAPL,Close,89,2,1.0,2.235892,0.0014,0.004,0.358,0.6856,0
